lead_id,channel,campaign,stage,device,region,conversion,revenue
1,Social Media,Campaign C,Visited,Mobile,North,0,7014.26
2,Referral,Campaign A,Visited,Desktop,West,0,48192.62
3,Email,Campaign C,Qualified,Desktop,West,0,7020.9
4,Referral,Campaign A,Qualified,Desktop,East,0,13489.22
5,Referral,Campaign A,Proposal,Mobile,West,0,40867.77
6,Paid Ads,Campaign B,Qualified,Tablet,East,1,31311.25
7,Email,Campaign B,Customer,Desktop,South,0,42069.31
8,Email,Campaign B,Visited,Desktop,East,0,26271.07
9,Email,Campaign B,Visited,Desktop,East,0,19472.67
10,Referral,Campaign C,Visited,Tablet,East,0,46170.43
11,Social Media,Campaign C,Visited,Tablet,West,0,2776.36
12,Email,Campaign C,Leads,Mobile,East,1,42950.38
13,Referral,Campaign A,Qualified,Desktop,North,0,12310.07
14,Paid Ads,Campaign C,Visited,Tablet,East,0,42588.08
15,Social Media,Campaign C,Customer,Mobile,South,0,7820.63
16,Paid Ads,Campaign C,Proposal,Desktop,North,0,29430.73
17,Social Media,Campaign B,Visited,Tablet,South,1,44517.29
18,Referral,Campaign C,Visited,Tablet,South,1,24203.44
19,Organic,Campaign A,Visited,Mobile,South,0,37581.77
20,Social Media,Campaign B,Visited,Desktop,North,0,40428.91
21,Paid Ads,Campaign A,Visited,Desktop,North,0,37088.22
22,Referral,Campaign C,Leads,Tablet,West,0,46341.16
23,Social Media,Campaign B,Visited,Desktop,North,0,22894.88
24,Organic,Campaign A,Leads,Mobile,East,0,9483.15
25,Organic,Campaign C,Customer,Tablet,South,0,3342.74
26,Email,Campaign A,Qualified,Tablet,West,0,13076.53
27,Email,Campaign A,Customer,Mobile,North,0,8016.68
28,Paid Ads,Campaign A,Visited,Tablet,South,1,28339.49
29,Social Media,Campaign C,Leads,Desktop,North,0,10062.32
30,Social Media,Campaign C,Qualified,Desktop,West,1,2907.75
31,Email,Campaign A,Visited,Tablet,North,0,2763.5
32,Social Media,Campaign B,Visited,Mobile,North,0,41746.91
33,Social Media,Campaign B,Qualified,Mobile,South,1,29981.05
34,Organic,Campaign C,Qualified,Desktop,East,1,18546.18
35,Email,Campaign C,Leads,Mobile,North,0,44817.17
36,Referral,Campaign C,Leads,Tablet,West,0,4439.63
37,Email,Campaign C,Leads,Tablet,North,1,49035.78
38,Referral,Campaign C,Visited,Desktop,North,0,31198.3
39,Organic,Campaign B,Leads,Desktop,East,0,9989.75
40,Paid Ads,Campaign C,Visited,Desktop,South,1,34274.39
41,Social Media,Campaign A,Visited,Mobile,West,0,38405.68
42,Organic,Campaign A,Customer,Tablet,South,0,22037.8
43,Social Media,Campaign B,Qualified,Tablet,South,0,43220.0
44,Paid Ads,Campaign A,Qualified,Tablet,South,0,8385.89
45,Paid Ads,Campaign B,Leads,Desktop,North,0,14663.04
46,Organic,Campaign B,Leads,Tablet,East,0,5581.13
47,Paid Ads,Campaign A,Visited,Mobile,North,0,11333.01
48,Referral,Campaign C,Visited,Mobile,West,0,12697.71
49,Paid Ads,Campaign A,Visited,Tablet,East,0,45964.03
50,Social Media,Campaign A,Proposal,Desktop,South,0,4827.37
51,Social Media,Campaign B,Qualified,Tablet,East,1,21943.34
52,Social Media,Campaign A,Leads,Mobile,West,0,27087.54
53,Social Media,Campaign B,Leads,Mobile,North,1,45035.96
54,Referral,Campaign C,Customer,Mobile,North,0,49887.11
55,Email,Campaign C,Visited,Tablet,South,1,37916.02
56,Organic,Campaign C,Visited,Mobile,North,0,48568.76
57,Social Media,Campaign A,Leads,Desktop,North,0,39567.96
58,Paid Ads,Campaign B,Proposal,Tablet,West,1,48196.93
59,Social Media,Campaign C,Customer,Tablet,East,1,35656.27
60,Paid Ads,Campaign B,Visited,Mobile,North,0,4908.41
61,Paid Ads,Campaign B,Proposal,Mobile,West,0,20694.09
62,Social Media,Campaign C,Proposal,Desktop,West,0,32683.27
63,Referral,Campaign C,Visited,Tablet,South,1,18185.21
64,Paid Ads,Campaign B,Leads,Mobile,West,0,14395.81
65,Paid Ads,Campaign C,Leads,Desktop,South,0,29292.56
66,Social Media,Campaign B,Customer,Mobile,North,0,46741.59
67,Paid Ads,Campaign B,Visited,Tablet,South,0,2714.11
68,Paid Ads,Campaign C,Proposal,Mobile,West,1,38692.33
69,Social Media,Campaign A,Leads,Tablet,East,0,36413.64
70,Social Media,Campaign C,Qualified,Mobile,East,0,48233.72
71,Organic,Campaign A,Leads,Tablet,North,0,46604.85
72,Referral,Campaign B,Qualified,Desktop,North,0,38349.4
73,Referral,Campaign B,Proposal,Tablet,East,0,26500.03
74,Paid Ads,Campaign A,Proposal,Desktop,South,0,11009.11
75,Referral,Campaign B,Proposal,Tablet,North,1,27716.55
76,Paid Ads,Campaign A,Visited,Desktop,West,0,38502.25
77,Organic,Campaign A,Qualified,Mobile,North,0,44887.79
78,Social Media,Campaign B,Visited,Tablet,South,0,39695.89
79,Social Media,Campaign A,Leads,Mobile,North,0,10568.08
80,Social Media,Campaign C,Leads,Desktop,West,1,30384.63
81,Referral,Campaign C,Leads,Tablet,West,0,17276.5
82,Organic,Campaign B,Leads,Tablet,West,0,1451.08
83,Referral,Campaign B,Customer,Mobile,South,0,10810.83
84,Referral,Campaign A,Visited,Tablet,South,0,6547.81
85,Organic,Campaign A,Qualified,Tablet,West,0,42293.24
86,Organic,Campaign A,Leads,Mobile,West,1,13666.81
87,Organic,Campaign A,Visited,Tablet,South,0,14950.2
88,Organic,Campaign C,Visited,Mobile,South,0,48036.89
89,Social Media,Campaign C,Customer,Mobile,South,0,19575.25
90,Email,Campaign B,Proposal,Mobile,East,0,1469.7
91,Email,Campaign A,Customer,Mobile,South,0,14908.46
92,Organic,Campaign A,Customer,Mobile,West,1,6845.68
93,Email,Campaign B,Visited,Desktop,East,0,6037.62
94,Email,Campaign A,Leads,Desktop,South,0,4796.88
95,Organic,Campaign A,Qualified,Mobile,West,0,30069.71
96,Email,Campaign A,Leads,Desktop,North,1,10278.04
97,Referral,Campaign A,Leads,Desktop,East,0,18700.9
98,Paid Ads,Campaign A,Leads,Tablet,West,1,43238.87
99,Paid Ads,Campaign B,Qualified,Mobile,North,0,21792.57
100,Organic,Campaign A,Qualified,Desktop,West,1,45868.88
101,Social Media,Campaign B,Visited,Tablet,South,0,25398.96
102,Organic,Campaign A,Leads,Tablet,South,0,20542.99
103,Social Media,Campaign C,Qualified,Mobile,North,0,37769.06
104,Paid Ads,Campaign C,Qualified,Mobile,South,0,4585.58
105,Organic,Campaign C,Visited,Tablet,West,0,5384.44
106,Referral,Campaign C,Qualified,Mobile,North,0,32946.71
