CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,InternetService,TechSupport,TotalCharges,Churn
C00001,Male,0,1,30.57,Month-to-month,Credit card,No,No,76.47,Yes
C00002,Female,0,51,86.48,One year,Electronic check,Fiber optic,No,4398.14,No
C00003,Male,1,5,48.62,One year,Electronic check,Fiber optic,No,245.81,No
C00004,Male,0,13,39.89,One year,Electronic check,Fiber optic,No,541.95,No
C00005,Male,0,19,113.64,One year,Bank transfer,DSL,No,2113.9,No
C00006,Female,0,12,21.85,Month-to-month,Credit card,DSL,No,236.3,Yes
C00007,Male,0,48,63.78,One year,Mailed check,Fiber optic,Yes,3094.65,No
C00008,Male,0,25,22.16,One year,Bank transfer,DSL,Yes,590.2,No
C00009,Male,0,57,68.36,Month-to-month,Credit card,DSL,Yes,3883.82,No
C00010,Female,0,35,70.1,Month-to-month,Mailed check,Fiber optic,No,2440.99,Yes
C00011,Male,0,5,52.17,One year,Mailed check,Fiber optic,Yes,286.54,No
C00012,Male,0,22,33.22,Month-to-month,Mailed check,Fiber optic,No,710.35,No
C00013,Male,1,57,57.64,One year,Credit card,Fiber optic,No,3247.19,Yes
C00014,Male,0,47,87.23,One year,Mailed check,No,No,4075.56,Yes
C00015,Female,0,54,98.24,One year,Mailed check,DSL,No,5293.69,No
C00016,Male,0,3,73.08,One year,Bank transfer,Fiber optic,Yes,174.46,No
C00017,Female,0,53,78.98,Month-to-month,Mailed check,Fiber optic,No,4183.81,No
C00018,Female,1,31,40.06,One year,Electronic check,DSL,Yes,1265.86,No
C00019,Female,0,69,48.73,Month-to-month,Bank transfer,DSL,No,3363.74,No
C00020,Male,0,33,36.19,Month-to-month,Bank transfer,Fiber optic,Yes,1151.46,Yes
C00021,Female,1,50,44.93,Month-to-month,Credit card,Fiber optic,No,2240.51,Yes
C00022,Male,0,16,42.49,Month-to-month,Mailed check,DSL,No,700.73,No
C00023,Female,1,39,71.94,Month-to-month,Electronic check,Fiber optic,No,2761.47,No
C00024,Female,0,46,76.27,Two year,Electronic check,Fiber optic,No,3464.4,No
C00025,Female,0,47,114.49,Month-to-month,Mailed check,Fiber optic,Yes,5368.09,Yes
C00026,Female,0,44,39.56,Month-to-month,Mailed check,Fiber optic,No,1710.14,Yes
C00027,Female,0,9,84.17,Month-to-month,Credit card,Fiber optic,No,801.01,Yes
C00028,Female,1,50,101.73,Month-to-month,Electronic check,Fiber optic,No,5094.63,Yes
C00029,Female,0,60,76.02,One year,Bank transfer,No,No,4539.93,Yes
C00030,Female,0,15,45.5,Month-to-month,Credit card,DSL,Yes,702.98,No
C00031,Male,0,36,46.26,One year,Credit card,DSL,No,1652.85,Yes
C00032,Male,0,63,23.93,One year,Bank transfer,DSL,No,1470.8,No
C00033,Female,0,69,50.54,Month-to-month,Credit card,Fiber optic,No,3460.98,No
C00034,Female,1,41,94.46,Two year,Mailed check,Fiber optic,No,3887.13,Yes
C00035,Female,0,24,24.75,Month-to-month,Bank transfer,Fiber optic,No,549.19,Yes
C00036,Male,0,49,41.93,Month-to-month,Bank transfer,DSL,Yes,2031.84,No
